Id,prediction
CN_T_01,பாலியல் குற்றங்களை எந்தக் குழுவுடனும் இணைப்பது தவறான பொதுமைப்படுத்தல். ஒவ்வொருவரும் தனிநபர்களாகப் பார்க்கப்பட வேண்டும். பாதுகாப்பும் மரியாதையும் அனைவருக்கும் சமமாக இருக்க வேண்டும்.
CN_T_02,மரியாதையும் மனிதநேயமும் தான் எந்த சமூகத்தின் அடிப்படை. வேறுபாடுகளை இழிவாக பார்க்காமல் புரிதலுடன் அணுகுவது தான் நல்ல வழி.
CN_T_03,வன்முறை அல்லது அவமதிப்பு எந்த பிரச்சினைக்கும் தீர்வாகாது. ஒவ்வொருவரும் பாதுகாப்பாகவும் மரியாதையுடனும் வாழ உரிமையுடையவர்கள்.
CN_T_04,காயப்படுத்துதல் அல்லது பயமுறுத்துதல் சமூகத்தை சீர்செய்யாது. புரிதலும் கருணையும் தான் நல்ல மாற்றத்தை உருவாக்கும்.
CN_T_05,ஒவ்வொருவரின் வாழ்க்கை அவர்களின் தனிப்பட்ட விஷயம். பிறரின் அடையாளத்தை இழிவுபடுத்தாமல் மரியாதையுடன் அணுக வேண்டும்.
CN_T_06,அறிவியல் மற்றும் மருத்துவ ஆய்வுகள் பல்வேறு பாலின அடையாளங்கள் இயல்பானவை என கூறுகின்றன. சமுதாய நலன் புரிதல் மற்றும் சம உரிமையில்தான் உள்ளது.
CN_T_07,ஒவ்வொருவரின் வாழ்க்கை அவர்களுக்கே உரியது. மரியாதையுடன் உரையாடுவது தான் நல்ல சமுதாயத்தின் அடையாளம்.
CN_T_08,இழிவான வார்த்தைகள் பிரச்சினையை தீர்க்காது. மரியாதை மற்றும் புரிதல் தான் முன்னேற்றம் தரும்.
CN_T_09,ஒரு குழுவை குறை கூறுவது நியாயமல்ல. அனைவரும் சம மதிப்பும் உரிமையும் உடையவர்கள்.
CN_T_10,வன்முறையோ கேலியோ தீர்வு அல்ல. ஒற்றுமையும் மரியாதையும் தான் நல்ல மாற்றத்தை தரும்.
CN_T_11,இயற்கை பல்வகைமையால் நிரம்பியுள்ளது. வேறுபாடுகளை ஏற்றுக்கொள்வது சமுதாயத்தை வலுப்படுத்தும்.
